Date of Transaction,No of Account opened - Male,No of Account opened - Female,No of Account opened - Others
01-04-2024,1,0,0
02-04-2024,1,0,0
03-04-2024,11711,12873,233
04-04-2024,48448,55806,879
05-04-2024,56322,67861,1048
06-04-2024,57560,73174,1066
07-04-2024,162,140,0
08-04-2024,55097,69562,949
09-04-2024,51091,62476,916
10-04-2024,56537,73167,925
11-04-2024,1491,2241,42
12-04-2024,55099,70814,960
13-04-2024,49165,66104,960
14-04-2024,55,82,0
15-04-2024,43830,59172,844
16-04-2024,66817,90771,1240
17-04-2024,46452,67482,728
18-04-2024,57102,79037,1009
19-04-2024,47800,65331,946
20-04-2024,50403,67701,989
21-04-2024,125,131,1
22-04-2024,53617,72459,1031
23-04-2024,57429,78831,1139
24-04-2024,56870,79259,1046
25-04-2024,58057,81668,1105
26-04-2024,53025,73118,1029
27-04-2024,54401,75542,1026
28-04-2024,115,115,1
29-04-2024,64504,85008,1342
30-04-2024,64423,84555,1255
01-05-2024,43942,55401,862
02-05-2024,43245,56538,873
03-05-2024,43652,56652,821
04-05-2024,40616,52582,881
05-05-2024,125,113,0
06-05-2024,42880,56996,889
07-05-2024,51111,69434,896
08-05-2024,56927,79794,1013
09-05-2024,56550,79098,994
10-05-2024,53720,74970,950
11-05-2024,46456,76658,816
12-05-2024,84,69,0
13-05-2024,42098,57768,769
14-05-2024,47827,66944,837
15-05-2024,53102,73953,853
16-05-2024,73746,105283,1330
17-05-2024,71396,106185,1235
18-05-2024,57801,83008,1174
19-05-2024,72,93,0
20-05-2024,56299,83377,1228
21-05-2024,61526,90266,1166
22-05-2024,51399,76893,989
23-05-2024,100,106,1
24-05-2024,73369,99359,1451
25-05-2024,64190,89042,1297
26-05-2024,110,151,0
27-05-2024,62214,89834,1291
28-05-2024,67023,97919,1274
29-05-2024,57248,83068,995
30-05-2024,70306,103909,1367
31-05-2024,55268,79198,1009
01-06-2024,37042,50946,584
02-06-2024,165,133,0
03-06-2024,48715,66684,832
04-06-2024,43233,63609,772
05-06-2024,48851,74720,898
06-06-2024,51863,74267,857
07-06-2024,50953,75910,919
08-06-2024,45432,68682,805
09-06-2024,79,63,0
10-06-2024,47612,71724,922
11-06-2024,49913,75054,906
12-06-2024,51825,81799,910
13-06-2024,51903,79332,970
14-06-2024,50684,76584,887
15-06-2024,43247,63738,834
16-06-2024,74,49,0
17-06-2024,87,67,0
18-06-2024,70927,97771,1342
19-06-2024,74889,117335,1475
20-06-2024,79382,132525,1361
21-06-2024,89285,141154,1572
22-06-2024,90670,113232,1647
23-06-2024,65,66,1
24-06-2024,74248,104518,1389
25-06-2024,73073,105334,1309
26-06-2024,81019,116272,1518
27-06-2024,88077,126472,1670
28-06-2024,85286,118279,1483
29-06-2024,75799,104549,1498
30-06-2024,139,118,1
01-07-2024,57254,72421,965
02-07-2024,57780,76644,933
03-07-2024,61341,81591,1054
04-07-2024,67389,91471,994
05-07-2024,63035,89234,951
06-07-2024,57101,77581,930
07-07-2024,140,167,2
08-07-2024,58436,80783,1027
09-07-2024,58389,81835,994
10-07-2024,61519,88734,1000
11-07-2024,66673,96687,1158
12-07-2024,62262,87681,960
13-07-2024,55562,75985,826
14-07-2024,69,81,0
15-07-2024,64891,85929,888
16-07-2024,91523,119098,1500
17-07-2024,2163,4457,41
18-07-2024,116231,149431,2129
19-07-2024,107990,134847,1853
20-07-2024,88315,116084,1408
21-07-2024,102,150,0
22-07-2024,96568,118776,1846
23-07-2024,133752,158229,2146
24-07-2024,93460,118079,1491
25-07-2024,87205,128806,1521
26-07-2024,80697,119244,1414
27-07-2024,78582,111653,1540
28-07-2024,121,105,0
29-07-2024,71744,101825,1294
30-07-2024,80664,112175,1410
31-07-2024,70334,97972,1278
01-08-2024,67699,90728,1033
02-08-2024,61223,83907,953
03-08-2024,54786,77421,854
04-08-2024,263,224,0
05-08-2024,61472,81636,974
06-08-2024,63311,87772,1063
07-08-2024,67144,94553,1177
08-08-2024,69583,97612,1321
09-08-2024,72617,95964,1600
10-08-2024,72106,88625,1641
11-08-2024,207,178,0
12-08-2024,67269,98088,1266
13-08-2024,68207,93822,1363
14-08-2024,67421,92375,1214
15-08-2024,121,209,2
16-08-2024,77797,105065,1169
17-08-2024,77900,101985,1314
18-08-2024,121,239,3
19-08-2024,67738,99431,1204
20-08-2024,84860,118160,1504
21-08-2024,104266,137287,1722
22-08-2024,94246,137614,1644
23-08-2024,97448,141660,1790
24-08-2024,87291,129981,1638
25-08-2024,142,142,9
26-08-2024,42245,67580,834
27-08-2024,67216,96439,1311
28-08-2024,77801,111655,1623
29-08-2024,102907,144888,2021
30-08-2024,106405,136582,2147
31-08-2024,104595,118256,2094
01-09-2024,334,285,6
02-09-2024,51645,64664,817
03-09-2024,58856,74723,897
04-09-2024,60612,84619,940
05-09-2024,64123,92203,925
06-09-2024,59925,85520,962
07-09-2024,36214,45544,504
08-09-2024,257,251,0
09-09-2024,55132,76589,934
10-09-2024,54626,79929,894
11-09-2024,56050,84629,921
12-09-2024,60093,91531,997
13-09-2024,61898,91173,971
14-09-2024,51642,78043,823
15-09-2024,209,253,0
16-09-2024,7655,11068,77
17-09-2024,62450,89481,1281
18-09-2024,71641,104409,1256
19-09-2024,81711,124616,1252
20-09-2024,87008,129127,1545
21-09-2024,79922,108489,1299
22-09-2024,119,144,1
23-09-2024,95508,141899,2019
24-09-2024,88077,137866,1593
25-09-2024,87676,132565,1633
26-09-2024,91500,148184,1584
27-09-2024,89128,130402,1627
28-09-2024,92013,131407,1748
29-09-2024,176,170,0
30-09-2024,94374,132977,1776
01-10-2024,61302,79779,976
02-10-2024,158,200,0
03-10-2024,59853,79024,874
04-10-2024,53662,75649,808
05-10-2024,68538,89544,1021
06-10-2024,260,253,17
07-10-2024,60621,83308,1048
08-10-2024,59988,86984,1047
09-10-2024,64907,97058,1184
10-10-2024,78080,115323,1461
11-10-2024,67325,98902,1435
12-10-2024,1223,2494,21
13-10-2024,67,181,0
14-10-2024,61803,88908,1216
15-10-2024,63907,92734,946
16-10-2024,83510,112199,1227
17-10-2024,89824,118501,1322
18-10-2024,89897,114461,1404
19-10-2024,83561,98732,1212
20-10-2024,237,207,1
21-10-2024,80801,115640,1397
22-10-2024,84915,121595,1512
23-10-2024,96182,127561,1692
24-10-2024,98499,130082,1581
25-10-2024,116768,133139,2194
26-10-2024,91753,114652,1634
27-10-2024,171,168,1
28-10-2024,65083,89122,1172
29-10-2024,88817,122039,1432
30-10-2024,79367,106176,1483
31-10-2024,199,124,1
01-11-2024,41128,52675,756
02-11-2024,34546,46170,600
03-11-2024,122,107,0
04-11-2024,38223,49655,602
05-11-2024,41000,55486,831
06-11-2024,46782,66403,793
07-11-2024,46842,68658,886
08-11-2024,44690,64708,821
