S.No.,Name of the Circle,Name of the aspirational district,No. of Departmental POs in CBS network
1,Andhra Pradesh,Visakhapatnam,113
2,Andhra Pradesh,Vizainagram,64
3,Andhra Pradesh,cuddapah,104
4,Assam,Darrang,12
5,Assam,Dhubri,11
6,Assam,Barpeta,18
7,Assam,Goalpara,11
8,Assam,Hailakandi,9
9,Assam,Udalgiri,10
10,Assam,Baksa,6
11,Bihar Circle,Purnia,10
12,Bihar Circle,Araria,10
13,Bihar Circle,Nawada,12
14,Bihar Circle,Sheikhpura,2
15,Bihar Circle,Begusarai,19
16,Bihar Circle,Khagaria,14
17,Bihar Circle,Katihar,16
18,Bihar Circle,Sitamarhi,19
19,Bihar Circle,Aurangabad,13
20,Bihar Circle,Banka,6
21,Bihar Circle,Jamui,7
22,Bihar Circle,Muzaffarpur,20
23,Bihar Circle,Gaya,16
24,Chhattisgarh,Korba,19
25,Chhattisgarh,Mahasamund,7
26,Chhattisgarh,Rajnandgaon,16
27,Chhattisgarh,Bastar,12
28,Chhattisgarh,Bijapur,3
29,Chhattisgarh,Dantewade,5
30,Chhattisgarh,Kanker,13
31,Chhattisgarh,Kondagaon,6
32,Chhattisgarh,Narayanpur,1
33,Chhattisgarh,Sukma,3
34,Gujarat,Narmada,10
35,Gujarat,Dahod,14
36,Haryana,Mewat,6
37,Himachal Pradesh,Chamba,21
38,Jammu & Kashmir,Kupwara,3
39,Jammu & Kashmir,Baramula,9
40,Jharkhand,Sahebganj,6
41,Jharkhand,Pakaur,2
42,Jharkhand,Godda,6
43,Jharkhand,Latehar,4
44,Jharkhand,Lohardaga,5
45,Jharkhand,Palamu,16
46,Jharkhand,Purbisinghbhum,38
47,Jharkhand,Ramgarh,16
48,Jharkhand,Ranchi,58
49,Jharkhand,Simdega,3
50,Jharkhand,West Singbhum,19
51,Jharkhand,Bokaro,15
52,Jharkhand,Chatra,5
53,Jharkhand,Dumka,8
54,Jharkhand,Garhwa,3
55,Jharkhand,Girdih,36
56,Jharkhand,Gumla,11
57,Jharkhand,Hazaribagh,16
58,Jharkhand,Khunti,4
59,Karnataka,Yadgir,24
60,Karnataka,Raichur,37
61,Kerala,Wayanad,20
62,Madhya Pradesh,Guna,17
63,Madhya Pradesh,Vidisha,19
64,Madhya Pradesh,Khandwa,19
65,Madhya Pradesh,Barwani,8
66,Madhya Pradesh,Singrauli,10
67,Madhya Pradesh,Rajgarh,15
68,Madhya Pradesh,Chhatarpur,22
69,Madhya Pradesh,Damoh,19
70,Maharashtra,Nandurbar,21
71,Maharashtra,Washim,14
72,Maharashtra,Osamanabad,28
73,Maharashtra,Gadcharoli,18
74,North East,Namsai (Arunachal),2
75,North East,Dhalai (Tripura),9
76,North East,Chandel (Manipur),1
77,North East,Ribhoi (Meghalaya),4
78,North East,Mamit (Mizoram),3
79,North East,Kiphire (Nagaland),0
80,Odisha,Koraput,37
81,Odisha,Malkangiri,4
82,Odisha,Rayagada,24
83,Odisha,Gajapati,16
84,Odisha,Kalahandi,32
85,Odisha,Balangiri,52
86,Odisha,Dhenkanal,51
87,Odisha,Kandhamal,34
88,Punjab,Firozpur,24
89,Punjab,Moga,17
90,Rajasthan,Baran,14
91,Rajasthan,Jaisalmer,19
92,Rajasthan,Dholpur,20
93,Rajasthan,Karauli,18
94,Rajasthan,Sirohi,24
95,Tamilnadu,Ramanathapuram,54
96,Tamilnadu,Virudhunagar,77
97,Telengana,Asifabad,8
98,Telengana,Khammam,38
99,Telengana,Bhoopalpalli,7
100,Uttar Pradesh,Sonbhadra,22
101,Uttar Pradesh,Balrampur,18
102,Uttar Pradesh,Bahraich,24
103,Uttar Pradesh,Shrawasti,6
104,Uttar Pradesh,Siddharthnagar,14
105,Uttar Pradesh,Chitrakoot,7
106,Uttar Pradesh,Fatehpur,22
107,Uttar Pradesh,Chandauli,16
108,Uttarakhand,Haridwar,37
109,Uttarakhand,Udham Singh Naagar,20
110,West Bengal,Murshidabad,66
111,West Bengal,Maldah,29
112,West Bengal,Birbhum,40
113,West Bengal,Nadia,105
114,West Bengal,Dakshin Dinajpur,16
115,West Bengal,West Sikkim,2
