Date of Transactions,Total Amount Collected
01-04-2024,3882949119
02-04-2024,274347413.7
03-04-2024,557965337.8
04-04-2024,15098312653
05-04-2024,19618937917
06-04-2024,14595804946
07-04-2024,10242551289
08-04-2024,14097490212
09-04-2024,13381753143
10-04-2024,14572176333
11-04-2024,9693376240
12-04-2024,14598547915
13-04-2024,13284816713
14-04-2024,9224465172
15-04-2024,13292483128
16-04-2024,14452283195
17-04-2024,12119329816
18-04-2024,11787922198
19-04-2024,12757051707
20-04-2024,11475323393
21-04-2024,8932931062
22-04-2024,11689913407
23-04-2024,12175109232
24-04-2024,13370871539
25-04-2024,12767508032
26-04-2024,10994320123
27-04-2024,10075329687
28-04-2024,8062955718
29-04-2024,13343648509
30-04-2024,16396619154
01-05-2024,15723165303
02-05-2024,15624068613
03-05-2024,15385546551
04-05-2024,12201686833
05-05-2024,10323743778
06-05-2024,14070955074
07-05-2024,13706263477
08-05-2024,14422479401
09-05-2024,14442634455
10-05-2024,13889637393
11-05-2024,11836437526
12-05-2024,8726211611
13-05-2024,12007766562
14-05-2024,12840388691
15-05-2024,14028071793
16-05-2024,12327323019
17-05-2024,11852362959
18-05-2024,14037888399
19-05-2024,9130245815
20-05-2024,12239450041
21-05-2024,11872731481
22-05-2024,13637225835
23-05-2024,10143021068
24-05-2024,11932303594
25-05-2024,10527758568
26-05-2024,8555464369
27-05-2024,12150292673
28-05-2024,11756340801
29-05-2024,11653801770
30-05-2024,12150292673
31-05-2024,15558554831
01-06-2024,16095147050
02-06-2024,11196804922
03-06-2024,14622744157
04-06-2024,12810901671
05-06-2024,14469558545
06-06-2024,14467307221
07-06-2024,11932303594
08-06-2024,14313598176
09-06-2024,10260773598
10-06-2024,14544509738
11-06-2024,13774140605
12-06-2024,14447692080
13-06-2024,13193492370
14-06-2024,13061324891
15-06-2024,13338718767
16-06-2024,10282435054
17-06-2024,10053879422
18-06-2024,33325959988
19-06-2024,15439066212
20-06-2024,14649416138
21-06-2024,13421906968
22-06-2024,12093050899
23-06-2024,9235475895
24-06-2024,13292216423
25-06-2024,12316418650
26-06-2024,12773871506
27-06-2024,13025624277
28-06-2024,13365578939
29-06-2024,15042168594
30-06-2024,7322811610
01-07-2024,15042424806
02-07-2024,14954147287
03-07-2024,15426318923
04-07-2024,14208663411
05-07-2024,16254655775
06-07-2024,15707954414
07-07-2024,10643865701
08-07-2024,15024316601
09-07-2024,15750283039
10-07-2024,15075786099
11-07-2024,14240880491
12-07-2024,14501176842
13-07-2024,11939371898
14-07-2024,10153116539
15-07-2024,14605213648
16-07-2024,13434705798
17-07-2024,10228304242
18-07-2024,13022420149
19-07-2024,12570881002
20-07-2024,10916601467
21-07-2024,7622304525
22-07-2024,11048761669
23-07-2024,12305138369
24-07-2024,11503172521
25-07-2024,12617943648
26-07-2024,11737808108
27-07-2024,10652980639
28-07-2024,8614448711
29-07-2024,12372676316
30-07-2024,12580176375
31-07-2024,16074737964
01-08-2024,16919425073
02-08-2024,15262491654
03-08-2024,13382844328
04-08-2024,11023031243
05-08-2024,14606929997
06-08-2024,13505806817
07-08-2024,14164503169
08-08-2024,14457821370
09-08-2024,14325249492
10-08-2024,14831265531
11-08-2024,11457334506
12-08-2024,16901964277
13-08-2024,15633834505
14-08-2024,17924145110
15-08-2024,14539636026
16-08-2024,16540427316
17-08-2024,14833375450
18-08-2024,11210861672
19-08-2024,12690285076
20-08-2024,13735845398
21-08-2024,15702621492
22-08-2024,14947903398
23-08-2024,13370851279
24-08-2024,11495789883
25-08-2024,9482986393
26-08-2024,11202289931
27-08-2024,12501014662
28-08-2024,12616084301
29-08-2024,15065000618
30-08-2024,14120280544
31-08-2024,16966570896
01-09-2024,12365297585
02-09-2024,16876403082
03-09-2024,17116660593
04-09-2024,16644623442
05-09-2024,16180438663
06-09-2024,15518836789
07-09-2024,13366395281
08-09-2024,11261540889
09-09-2024,18800129590
10-09-2024,16138357755
11-09-2024,16462754724
12-09-2024,14978423983
13-09-2024,13366395932
14-09-2024,13687783412
15-09-2024,11982115751
16-09-2024,13117108939
17-09-2024,15906599237
18-09-2024,16578068978
19-09-2024,15039671252
20-09-2024,15448840769
21-09-2024,14465309329
22-09-2024,10660808501
23-09-2024,14240163671
24-09-2024,13982447454
25-09-2024,18043133062
26-09-2024,15069921267
27-09-2024,13904565142
28-09-2024,14105563463
29-09-2024,11547671524
30-09-2024,20312398883
01-10-2024,23942423371
02-10-2024,19092389807
03-10-2024,18854143550
04-10-2024,19726026638
05-10-2024,49916868135
06-10-2024,19043971704
07-10-2024,24609538972
08-10-2024,28108478901
09-10-2024,26102073390
10-10-2024,22816452598
11-10-2024,19118837492
12-10-2024,13576114590
13-10-2024,12106114736
14-10-2024,20593930078
15-10-2024,20926941090
16-10-2024,19796360526
17-10-2024,18617013778
18-10-2024,19726027624
19-10-2024,16979842865
20-10-2024,12638355739
21-10-2024,17788559225
22-10-2024,16645340773
23-10-2024,16268826738
24-10-2024,16005183110
25-10-2024,16469893483
26-10-2024,15105070574
27-10-2024,12424157252
28-10-2024,18992834929
29-10-2024,21989639448
30-10-2024,16182766538
31-10-2024,18006302277
01-11-2024,16812664800
02-11-2024,15580876706
03-11-2024,13238846546
04-11-2024,18371538683
05-11-2024,18616769998
06-11-2024,17851908936
07-11-2024,16887841555
08-11-2024,15670838842
09-11-2024,16956079644
10-11-2024,13177982116
11-11-2024,18588691581
12-11-2024,19197748132
13-11-2024,18212163423
14-11-2024,17197820330
15-11-2024,14987573916
16-11-2024,16907489269
17-11-2024,12560093945
18-11-2024,16714338298
19-11-2024,16842971582
20-11-2024,15994500065
21-11-2024,16386707121
22-11-2024,16285379354
23-11-2024,13355693725
24-11-2024,12597363444
25-11-2024,16420963241
26-11-2024,17966776065
27-11-2024,17707601497
28-11-2024,16782155981
29-11-2024,17529839242
30-11-2024,21618263123
01-12-2024,15701956683
02-12-2024,21415458094
03-12-2024,19587184496
04-12-2024,20002860444
05-12-2024,20602872177
06-12-2024,18371622592
07-12-2024,18665053735
08-12-2024,13995847168
09-12-2024,11183420096
