Date of Transaction,Total no. of Transactions
01-04-2024,1678732
02-04-2024,164613
03-04-2024,188469
04-04-2024,10475989
05-04-2024,15781450
06-04-2024,14328955
07-04-2024,13464215
08-04-2024,14231645
09-04-2024,14458435
10-04-2024,15357765
11-04-2024,13101647
12-04-2024,15351677
13-04-2024,15213455
14-04-2024,13781014
15-04-2024,14382893
16-04-2024,15356080
17-04-2024,14115209
18-04-2024,14025282
19-04-2024,14394314
20-04-2024,12412907
21-04-2024,13301025
22-04-2024,13864480
23-04-2024,13804512
24-04-2024,14641478
25-04-2024,14528184
26-04-2024,13468510
27-04-2024,13529358
28-04-2024,13026252
29-04-2024,14794966
30-04-2024,14591718
01-05-2024,15402449
02-05-2024,15315901
03-05-2024,15506236
04-05-2024,13140716
05-05-2024,14587815
06-05-2024,15734199
07-05-2024,14726820
08-05-2024,15704580
09-05-2024,15770021
10-05-2024,15389134
11-05-2024,14633249
12-05-2024,13340841
13-05-2024,14430183
14-05-2024,14854087
15-05-2024,15899041
16-05-2024,14765250
17-05-2024,14898986
18-05-2024,15875527
19-05-2024,14469840
20-05-2024,14777845
21-05-2024,14868858
22-05-2024,15839520
23-05-2024,14089659
24-05-2024,15170988
25-05-2024,14386324
26-05-2024,14580106
27-05-2024,14588057
28-05-2024,14751620
29-05-2024,14448783
30-05-2024,14588057
31-05-2024,14940603
01-06-2024,15680949
02-06-2024,15031765
03-06-2024,15605839
04-06-2024,14412090
05-06-2024,15829477
06-06-2024,15986868
07-06-2024,15170988
08-06-2024,16165506
09-06-2024,15215837
10-06-2024,15921313
11-06-2024,15458875
12-06-2024,15958048
13-06-2024,15569746
14-06-2024,15768912
15-06-2024,15453641
16-06-2024,14845085
17-06-2024,14214440
18-06-2024,25639701
19-06-2024,16987109
20-06-2024,16349037
21-06-2024,16133775
22-06-2024,15503665
23-06-2024,14719486
24-06-2024,15844484
25-06-2024,15204854
26-06-2024,15677197
27-06-2024,16216133
28-06-2024,16000158
29-06-2024,15621755
30-06-2024,9898189
01-07-2024,16229871
02-07-2024,16163172
03-07-2024,15901966
04-07-2024,15866387
05-07-2024,17167434
06-07-2024,16572591
07-07-2024,15086606
08-07-2024,16413702
09-07-2024,17121323
10-07-2024,16794374
11-07-2024,16466993
12-07-2024,16711872
13-07-2024,15695595
14-07-2024,15616347
15-07-2024,17250501
16-07-2024,16586360
17-07-2024,15280680
18-07-2024,16443541
19-07-2024,16501273
20-07-2024,12797111
21-07-2024,11298257
22-07-2024,13296276
23-07-2024,15249405
24-07-2024,14856695
25-07-2024,15956792
26-07-2024,15742476
27-07-2024,14662902
28-07-2024,14948171
29-07-2024,15658355
30-07-2024,15471997
31-07-2024,15619264
01-08-2024,16838190
02-08-2024,16434201
03-08-2024,15793932
04-08-2024,15955184
05-08-2024,16618227
06-08-2024,15680800
07-08-2024,16504769
08-08-2024,17039329
09-08-2024,17010378
10-08-2024,19043802
11-08-2024,16970982
12-08-2024,18457583
13-08-2024,18058324
14-08-2024,19440704
15-08-2024,18441489
16-08-2024,19041476
17-08-2024,17242938
18-08-2024,16544009
19-08-2024,17765770
20-08-2024,16391755
21-08-2024,17558889
22-08-2024,17503088
23-08-2024,16866682
24-08-2024,15905311
25-08-2024,16072168
26-08-2024,15876588
27-08-2024,16377115
28-08-2024,16629594
29-08-2024,17452257
30-08-2024,17238943
31-08-2024,17436942
01-09-2024,16934174
02-09-2024,18715357
03-09-2024,18514253
04-09-2024,18807381
05-09-2024,18917966
06-09-2024,18693770
07-09-2024,17906712
08-09-2024,17330434
09-09-2024,20540747
10-09-2024,18727516
11-09-2024,18947736
12-09-2024,17907685
13-09-2024,17907363
14-09-2024,18134990
15-09-2024,18644498
16-09-2024,17992453
17-09-2024,17390422
18-09-2024,18435059
19-09-2024,18016472
20-09-2024,18217847
21-09-2024,17385860
22-09-2024,16978260
23-09-2024,17754587
24-09-2024,17559690
25-09-2024,17896196
26-09-2024,18064966
27-09-2024,17440685
28-09-2024,18096689
29-09-2024,18223617
30-09-2024,19210493
01-10-2024,21185766
02-10-2024,21219975
03-10-2024,20041035
04-10-2024,20612965
05-10-2024,35884800
06-10-2024,21359584
07-10-2024,23431473
08-10-2024,23339287
09-10-2024,23310520
10-10-2024,22697185
11-10-2024,21338038
12-10-2024,19936672
13-10-2024,18303800
14-10-2024,20249625
15-10-2024,21152182
16-10-2024,20470001
17-10-2024,19906152
18-10-2024,20614602
19-10-2024,19447619
20-10-2024,18557285
21-10-2024,19464624
22-10-2024,19287224
23-10-2024,19257824
24-10-2024,19069633
25-10-2024,19223602
26-10-2024,18690489
27-10-2024,18435696
28-10-2024,20094709
29-10-2024,21456231
30-10-2024,14708552
31-10-2024,23591827
01-11-2024,19968581
02-11-2024,18979991
03-11-2024,18268751
04-11-2024,18890471
05-11-2024,19474275
06-11-2024,20309853
07-11-2024,20226602
08-11-2024,18708884
09-11-2024,19910134
10-11-2024,18730152
11-11-2024,20185946
12-11-2024,20444297
13-11-2024,20471172
14-11-2024,20064803
15-11-2024,19792871
16-11-2024,19883691
17-11-2024,18970354
18-11-2024,19619372
19-11-2024,19328652
20-11-2024,19252453
21-11-2024,19095221
22-11-2024,19485518
23-11-2024,18076414
24-11-2024,17737517
25-11-2024,18478415
26-11-2024,19937505
27-11-2024,20090291
28-11-2024,19384649
29-11-2024,18507025
30-11-2024,20287797
01-12-2024,19998697
02-12-2024,20996676
03-12-2024,18880009
04-12-2024,20726576
05-12-2024,20792784
06-12-2024,20458349
07-12-2024,20187246
08-12-2024,19757457
09-12-2024,9266004
