S.No.,Name of the Circle,No. of the aspirational district,No. of Departmental POs in CBS network
1,Andhra Pradesh,3,281
2,Assam,7,77
3,Bihar Circle,13,164
4,Chhattisgarh,10,85
5,Gujarat,2,24
6,Haryana,1,6
7,Himachal Pradesh,1,21
8,Jammu & Kashmir,2,12
9,Jharkhand,19,271
10,Karnataka,2,61
11,Kerala,1,20
12,Madhya Pradesh,8,129
13,Maharashtra,4,81
14,North East,6,19
15,Odisha,8,250
16,Punjab,2,41
17,Rajasthan,5,95
18,Tamilnadu,2,131
19,Telengana,3,53
20,Uttar Pradesh,8,129
21,Uttarakhand,2,57
22,West Bengal,6,258
Total,,115,2265
